,Estimate,Standard Error,t‐Statistic,P‐Value
n,30.888387438813407,0.6469062196519203,47.747859736815435,1.4549972222505221e-37
p,5.775593628801544,0.23300017940967724,24.787936401741952,2.687663525324119e-26
a1,21.6,68.89545696407693,0.3135184952944365,0.7554762879510801
a2,78.2,87.35087253758627,0.8952400557458802,0.3758846971803709
a3,87.,279.5915291395995,0.3111682255457785,0.7572493925487955
a4,187.5,261.25016674123407,0.7177028912127625,0.477010126482743
a5,-26.6,171.1106351139275,-0.15545497789947077,0.8772254884120767
a6,65.6,49.09319864623236,1.3362339755597579,0.18884202381873638
w1,2849.2,18.56585385357364,153.4645280777955,3.262236880326447e-58
w2,2878.161248780628,4.556301746760214,631.6880243559729,2.1551002404905187e-83
w3,2912.3,17.169116870198586,169.62433315688153,5.41467344238669e-60
w4,2943.7,25.250283055832185,116.58087133086924,2.494919723073605e-53
w5,2949.664960659503,1.3664206786611934,2158.679978079341,2.8390563298371114e-105
w6,2965.339638754832,1.3373805309292561,2217.2744182947063,9.468899325615016e-106
f1,12.26,34.75600795855301,0.35274476903734764,0.7260868364747235
f2,10.626418813473233,10.20030256349716,1.0417748637673723,0.3036203481835644
f3,20.83769192960124,37.24912697507773,0.5594142365683662,0.5789224045652724
f4,18.405949986768757,19.020999602044807,0.9676647059490012,0.33888560990335315
f5,3.7774552723985315,20.807299196094547,0.18154471836054273,0.8568345953992794
f6,6.358882536753385,2.1196278141329112,2.9999995727337874,0.004576784633972408
R^2,0.9960284533124241,,,